user_id,recency,frequency,avg_monetary_value,vintage_in_days,predicted_churn_probability_LR,predicted_churn_probability_SVM
01acd17484733a1d5ece072b0632c64d81345de96d0830543f8edd4aa0347b78,22,10,358,100,30%,34%
01b331662117a6cf7b5b918fb93cf353353335d4e880174b427ad1fec344ac44,28,13,618,100,48%,57%
01b7c8b3065893f54149c6ded95972fcce7469c8eeb0831473c8c3be76928994,22,5,251,115,9%,14%
01bd19784c116f9e0f81f02c07df881157a8868895b56d218fb0d77c9263b8ab,21,16,416,117,47%,57%
01c80ce784ecdc8829a0172990bca957ddcd0af86e39554bb063fbcd75982812,21,19,1248,107,72%,67%
01c8ba304e49955d979b02a713f827f23b91287fc793e95e29ca4e83d25f8f16,28,3,270,56,27%,10%
01d078e657c7ea92de7cf76ed41dad2fd43ffeca46691896b9bf1a56c92145ab,31,2,170,60,22%,6%
01d0ef3cacceeb1f2d22c481355816e2909b92454a9437ab3cf82586dc5e0deb,19,10,676,114,23%,25%
01d2a8a38cbe125d81046943d7f3d2a21f08961874bab412d952849a20cb0c9d,22,6,346,113,12%,15%
01d44b36cd17dad36b173149b31fb050528468b8f04820f975479375e9204cee,22,20,367,84,82%,96%
01d8b9e7c68b139da6c2f558f1c65480e5f3a40d3a095e9464da33b011601a58,62,6,400,64,57%,65%
01df9b57cf4c9083a8e66c8bde803788d0a187a646f4867c3e2d697c8d6817ed,22,42,427,113,99%,95%
01eab07ea192d061968011ca295be9dad0c2ed87b9230c2af7c38f9f84ebdcc2,40,14,188,97,60%,84%
01eab64cfe36eb6601d0f36d15081581508e36ed9f0459cbbb1605ed9e04b15b,73,2,256,59,46%,14%
01eb1e58efd9c010be39a9ed4883c315bc62f70f79c759cc57b2b307133b7c54,24,19,395,111,67%,75%
01ef14b3ec69f281b809243d3c95105cd8c99a32f7d76d6d6fd279a30ba358bc,36,9,509,101,33%,38%
01f112b6d090e915b64a6e62b001da830f86599ea4de7ede7ea61c11e86e2b1e,51,2,254,54,36%,7%
01f185517aaa75b0249f62a3a88fa4c88be0d47f697a9e4a7b1a47ab08346648,20,16,520,113,49%,55%
01f4a5a5faddad3606e9e042f2d17d411e52b5a323a2f958276d9199dfc3c407,21,31,324,103,96%,96%
01fa3f9baabcc5e840d812abf8adfd026fadafc2ccf5dcb067b9e46977efefc3,23,17,405,97,65%,79%
01fdf1fb3db129acd650d0e23dd432850d58b0eb2fb14815f90ac65912765307,46,11,347,76,63%,92%
020231d8679c40cbbe863ec70e4e78580371e41239e623dbb2c2115b9d9e0a7b,24,2,765,99,9%,4%
020429f0a41637ed4302cd39dd391c0423443fd509f9ca63f08be22789baf478,50,2,328,49,39%,8%
0205f63e5ceb9cb2760e1165e5f23b6192d7e64675bac40f391ce12e4a92ec8a,21,51,276,117,100%,92%
0207692af21b67327ff87d978ddb154cc921f08f3ba35220f6417913c8e44ee1,39,5,499,32,59%,53%
020b45238007409fcf3f7214af8d221879adb0238b4a1eb55aa286124c7d8d3f,19,20,253,114,66%,74%
0213659cbb99d7de1ca3055059d75f693c8e0f5658d26f5e46f756ed16a28df5,27,2,227,105,8%,6%
0213fe59aeea29611cd8d70b49ed2ed55af6b176bff2ce964b8c5c4606ff3c4b,58,6,573,56,60%,67%
0215637ace28d7e5ee04c6f0a5b2a5e292aa2e4fa01111526d7961d20333074d,40,5,197,79,29%,25%
021f71a95793330c3a27de1c30ead8df03b5db222d85140ed9e6aca26f5b6d45,24,4,213,112,9%,11%
0220a1c7c84a4eca9a6f2a82bd7785de04243aa25d98132e0052f93662e77ce8,50,12,236,86,63%,91%
02270783ccffe78aaefb91e8dfbfeeded4cc1366c47b8ce5dc6f6f0b7a870015,81,3,347,15,80%,98%
0230d59badceb0216bbb52007db1fe91164d7111bacd458436c140c7f5e4fb69,32,12,273,76,59%,88%
0237137c0c9602b009356dd0eb09e7ac0568333c44e1d9c3601d141bffdd8aac,23,3,126,101,9%,8%
023b2d4dcddc4c2c8aa10d5157fcdf2be3fd9d693d07170ebeed0d34c8359efd,23,21,210,115,71%,80%
023cc2a2f4907b7163ca905279ed25420d06544c6b93652dad340d43bab3fea8,48,3,356,41,48%,17%
024220b759ece24889597bb486cd25a3908c1658457e0e02fff705cc7d66a2c1,37,2,198,71,20%,6%
024423882301e437f65946dc2aee2ec3c067ae47f4338ace3170e7a7303475f6,34,14,546,57,80%,99%
0248aa9780bfb2b21d7c0404805e98f278ab050124d6e1605b902b38fbebc0c8,34,2,172,35,37%,8%
025421d92fc57297a22e1e4b197d8a594f51d99db9960e77d8fa9657ae4dd1aa,21,25,241,96,90%,96%
025dc46b5a0f890a0d1ef4ddc9a4f2ca1cc1ff771cefb3fe8b4513589b411188,61,2,446,3,74%,99%
02620b6f63b1156e9c102ea6044a89678d708b52e64c740729681349a390ebc8,74,5,585,53,67%,65%
02643578bcba2b093b51771a7af062acf0abbc87f15da44e21e43e5e07b9c0b8,50,7,435,86,40%,52%
0265df86164e7c5dd3aaf67ebd9490528cbbbc0966005c0ad62f12fed145298b,46,7,505,84,40%,49%
0267351a6c36a3191e05c4142d29761c5fec821c447c9a3a863c5aa21d430691,18,9,329,105,21%,25%
026a8962e4ac8c49271c5e83551751bcfc1df4b0be84d1615519eee3aea734e4,59,2,124,69,31%,9%
026b0c0a01596b6eaa7f184dce34aab753950c30741cd2b436ff51c7d5e0d445,113,2,303,17,87%,99%
0271927cf818698d421541a808fe524acd84241a071c9bfb02feb3740a7cd57e,44,2,193,82,18%,7%
0272fad970486be9cd20afc111685602ca4b798a8962ece42bf6019f3ebafc6f,29,9,187,64,50%,74%
